TSNE1,TSNE2,Cluster,Engagement Rate,Platform,Age,Gender,Sentiment,Region
-15.118765,3.278902,2,25.96,Instagram,30,0,Unknown,Iceland
-74.36825,21.875927,1,27.78,Instagram,37,0,Positive,Jersey
22.09035,-0.26896548,2,29.91,Instagram,41,2,Unknown,Papua New Guinea
-47.87557,43.236176,1,12.1,Instagram,36,2,Positive,Belgium
-4.565372,32.586853,2,37.2,Instagram,49,0,Unknown,Turks and Caicos Islands
-55.8266,-24.131166,4,92.59,Facebook,26,0,Positive,El Salvador
-1.8861068,-33.139816,0,45.69,Twitter,61,0,Negative,South Georgia and the South Sandwich Islands
66.83171,-19.47805,3,48.24,Facebook,60,0,Unknown,Comoros
13.529249,41.16453,2,9.62,Twitter,37,2,Unknown,Micronesia
-24.261044,-12.457405,4,25.31,Instagram,65,2,Positive,Lebanon
66.86219,-26.792103,3,78.03,Instagram,32,2,Neutral,Guinea
77.557014,38.6281,3,11.86,Twitter,60,1,Positive,New Caledonia
15.068184,-13.608759,0,29.2,LinkedIn,46,0,Unknown,Venezuela
23.763502,6.706778,2,13.22,LinkedIn,34,0,Negative,New Zealand
45.22374,-22.89239,0,24.28,LinkedIn,63,0,Unknown,Korea
-15.6652155,25.951942,2,25.18,Instagram,36,1,Neutral,Australia
-53.62636,-22.315226,4,71.02,LinkedIn,28,1,Neutral,Comoros
-70.663895,34.391003,1,25.11,Facebook,20,0,Neutral,Kenya
-73.192154,35.071934,1,15.89,Twitter,48,2,Unknown,Cuba
-19.154755,43.583458,2,9.96,Facebook,40,2,Positive,Libyan Arab Jamahiriya
-80.746315,-10.399073,4,40.09,Twitter,21,1,Unknown,Ethiopia
21.339443,23.219107,2,30.04,Facebook,36,2,Unknown,Malaysia
-43.36061,9.350642,1,29.02,Instagram,62,0,Unknown,Malaysia
53.700512,-7.2376633,3,46.14,Facebook,23,2,Neutral,Mauritania
64.99359,-19.931808,3,101.46,Twitter,45,1,Unknown,Russian Federation
-80.78651,-25.611095,4,57.2,Twitter,39,1,Positive,Taiwan
34.98564,18.563295,2,29.94,LinkedIn,33,1,Unknown,Falkland Islands (Malvinas)
0.3841717,6.367735,2,21.41,Facebook,35,2,Unknown,Sao Tome and Principe
-49.52999,-41.773205,4,214.84,LinkedIn,44,2,Neutral,Montserrat
29.184008,-40.390324,0,76.72,LinkedIn,33,1,Unknown,United States Minor Outlying Islands
-18.001225,3.650521,2,37.25,Twitter,62,1,Unknown,Tonga
-30.673084,-14.675599,4,39.27,Instagram,38,1,Unknown,Liberia
35.027847,43.4907,2,22.19,LinkedIn,41,0,Positive,Bulgaria
48.96012,-23.051323,3,24.25,Instagram,58,1,Negative,Nauru
14.756012,23.367973,2,22.99,Facebook,37,2,Unknown,Jordan
38.953518,31.403868,2,3.05,Instagram,53,0,Positive,Finland
79.06138,-15.104749,3,35.41,Instagram,56,1,Positive,Moldova
81.37978,34.425396,3,24.68,Instagram,35,0,Unknown,Burundi
